id	name	lat	lng	type	openDate	price	tags	description
101	서울 잠실 한강공원 수영장	37.5175	127.0818	cheap	2026-06-20	5,000원	#대형수영장 #잠실뷰	가족 단위 방문객이 가장 많은 잠실 한강수영장. 워터파크 부럽지 않은 넓은 풀장이 장점!
102	광나루 한강공원 수영장	37.5489	127.1215	cheap	2026-06-20	5,000원	#아담함 #유아풀	다른 한강수영장에 비해 아담하고 수심이 얕아 어린아이를 동반한 가족에게 강력 추천합니다.
103	양화 한강공원 물놀이장	37.5385	126.8996	cheap	2026-06-20	3,000원	#선유도뷰 #저렴함	수영장이 아닌 '물놀이장'이라 수심이 0.8m로 얕고 가격이 3천원으로 가장 저렴합니다!
104	서울 마포구 평화의공원 바닥분수	37.5645	126.8863	free	상시 개방	무료	#월드컵공원 #산책	상암 월드컵공원 나들이 후 아이들이 흠뻑 젖으며 뛰어놀 수 있는 거대한 바닥분수.
105	서울 북서울꿈의숲 물놀이장	37.6226	127.0416	free	상시 개방	무료	#강북최대 #숲속물놀이	점핑분수와 얕은 계류가 흘러 숲 속에서 물놀이하는 기분을 낼 수 있는 강북의 오아시스.
106	서울 용산가족공원 계류	37.5218	126.9818	free	상시 개방	무료	#국립중앙박물관 #피크닉	박물관 관람 후 공원 내 인공 냇가(계류)에서 발을 담그고 쉬어갈 수 있습니다.
107	강화도 민머루 해수욕장	37.6627	126.3308	beach	2026-07-01	무료	#석모도 #미네랄온천	석모도에 위치한 유일한 해수욕장. 근처 석모도 미네랄 온천과 묶어서 다녀오기 좋습니다.
108	옹진 십리포 해수욕장	37.2801	126.4851	beach	2026-07-05	무료	#영흥도 #소사나무	영흥도 끝자락! 수백 년 된 소사나무 군락지가 시원한 그늘을 만들어주는 수도권 핫플.
109	화성 궁평항 해수욕장	37.1121	126.6789	beach	2026-07-01	무료	#궁평낙조 #차박	낙조가 환상적인 서해안 차박의 성지. 방조제를 따라 걷고 해수욕도 즐기세요.
110	포천 백운계곡 선녀탕	38.0631	127.4320	valley	상시 개방	무료	#다이빙 #1급수	백운계곡 상류에 위치해 물이 깊고 에메랄드빛을 띄어 젊은 층의 다이빙 명소로 꼽힙니다.
111	가평 도대리 용소폭포	37.9542	127.4518	valley	상시 개방	무료	#구명조끼필수 #다이빙성지	가평의 블루홀! 수심이 깊어 아찔한 다이빙을 즐길 수 있으나 구명조끼는 선택이 아닌 필수!
112	양평 중원계곡 중원폭포	37.5683	127.5815	valley	상시 개방	무료	#트레킹 #폭포수	중원산 자락을 따라 올라가면 만나는 아담하지만 수심 깊은 폭포. 산행 후 냉수마찰 최고!
